index,date,hour,Category,District,count,weather,dayoff
0,2019-01-01,0,2,0,1,-0.975,1
1,2019-01-01,0,2,1,2,-0.975,1
2,2019-01-01,0,5,3,1,-0.975,1
3,2019-01-01,0,5,5,7,-0.975,1
4,2019-01-01,0,5,12,1,-0.975,1
5,2019-01-01,0,5,15,1,-0.975,1
6,2019-01-01,1,1,1,1,-0.975,1
7,2019-01-01,1,4,7,2,-0.975,1
8,2019-01-01,1,4,10,7,-0.975,1
9,2019-01-01,1,4,14,1,-0.975,1
10,2019-01-01,1,5,1,1,-0.975,1
11,2019-01-01,1,5,3,15,-0.975,1
12,2019-01-01,1,5,4,2,-0.975,1
13,2019-01-01,1,5,6,1,-0.975,1
14,2019-01-01,1,5,9,2,-0.975,1
15,2019-01-01,1,5,12,2,-0.975,1
16,2019-01-01,2,2,0,1,-0.975,1
17,2019-01-01,2,2,1,1,-0.975,1
18,2019-01-01,2,2,2,1,-0.975,1
19,2019-01-01,2,4,14,3,-0.975,1
20,2019-01-01,2,5,8,1,-0.975,1
21,2019-01-01,2,5,12,2,-0.975,1
22,2019-01-01,3,4,14,1,-0.975,1
23,2019-01-01,3,5,5,1,-0.975,1
24,2019-01-01,3,5,8,1,-0.975,1
25,2019-01-01,3,5,12,3,-0.975,1
26,2019-01-01,4,4,12,2,-0.975,1
27,2019-01-01,4,5,14,1,-0.975,1
28,2019-01-01,5,4,0,2,-0.975,1
29,2019-01-01,5,4,3,1,-0.975,1
30,2019-01-01,5,4,14,5,-0.975,1
31,2019-01-01,5,4,15,3,-0.975,1
32,2019-01-01,5,5,2,1,-0.975,1
33,2019-01-01,5,5,8,2,-0.975,1
34,2019-01-01,5,5,9,1,-0.975,1
35,2019-01-01,5,5,14,1,-0.975,1
36,2019-01-01,6,2,1,1,-0.975,1
37,2019-01-01,6,5,5,1,-0.975,1
38,2019-01-01,6,5,8,1,-0.975,1
39,2019-01-01,6,5,11,1,-0.975,1
40,2019-01-01,6,5,12,2,-0.975,1
41,2019-01-01,8,1,9,1,-0.975,1
42,2019-01-01,8,5,5,1,-0.975,1
43,2019-01-01,9,2,3,1,-0.975,1
44,2019-01-01,9,2,4,1,-0.975,1
45,2019-01-01,9,5,0,1,-0.975,1
46,2019-01-01,10,1,10,1,-0.975,1
47,2019-01-01,10,2,5,1,-0.975,1
48,2019-01-01,10,2,6,1,-0.975,1
49,2019-01-01,10,2,7,1,-0.975,1
50,2019-01-01,10,2,8,1,-0.975,1
51,2019-01-01,10,2,9,1,-0.975,1
52,2019-01-01,10,4,1,1,-0.975,1
53,2019-01-01,10,4,7,1,-0.975,1
54,2019-01-01,10,5,0,1,-0.975,1
55,2019-01-01,11,1,4,1,-0.975,1
56,2019-01-01,11,2,0,3,-0.975,1
57,2019-01-01,11,2,5,1,-0.975,1
58,2019-01-01,11,2,6,1,-0.975,1
59,2019-01-01,11,2,9,1,-0.975,1
60,2019-01-01,11,5,1,1,-0.975,1
61,2019-01-01,11,5,3,1,-0.975,1
62,2019-01-01,12,1,10,1,-0.975,1
63,2019-01-01,12,2,0,1,-0.975,1
64,2019-01-01,12,2,1,2,-0.975,1
65,2019-01-01,12,2,6,1,-0.975,1
66,2019-01-01,12,2,8,3,-0.975,1
67,2019-01-01,12,4,1,1,-0.975,1
68,2019-01-01,13,1,6,1,-0.975,1
69,2019-01-01,13,1,8,1,-0.975,1
70,2019-01-01,13,2,9,2,-0.975,1
71,2019-01-01,13,4,3,1,-0.975,1
72,2019-01-01,13,4,14,1,-0.975,1
73,2019-01-01,13,5,1,1,-0.975,1
74,2019-01-01,13,5,4,1,-0.975,1
75,2019-01-01,13,5,14,3,-0.975,1
76,2019-01-01,14,2,1,2,-0.975,1
77,2019-01-01,14,4,8,1,-0.975,1
78,2019-01-01,14,5,5,1,-0.975,1
79,2019-01-01,14,5,7,1,-0.975,1
80,2019-01-01,14,5,14,1,-0.975,1
81,2019-01-01,15,1,13,1,-0.975,1
82,2019-01-01,15,2,0,1,-0.975,1
83,2019-01-01,15,2,3,2,-0.975,1
84,2019-01-01,15,2,6,3,-0.975,1
85,2019-01-01,15,2,9,2,-0.975,1
86,2019-01-01,15,2,10,2,-0.975,1
87,2019-01-01,15,4,8,1,-0.975,1
88,2019-01-01,15,4,13,1,-0.975,1
89,2019-01-01,15,5,2,1,-0.975,1
90,2019-01-01,15,5,4,1,-0.975,1
91,2019-01-01,15,5,5,1,-0.975,1
92,2019-01-01,15,5,9,1,-0.975,1
93,2019-01-01,16,2,3,2,-0.975,1
94,2019-01-01,16,2,6,1,-0.975,1
95,2019-01-01,16,2,7,1,-0.975,1
96,2019-01-01,16,4,3,1,-0.975,1
97,2019-01-01,16,4,11,3,-0.975,1
98,2019-01-01,16,5,9,1,-0.975,1
99,2019-01-01,16,5,12,2,-0.975,1
100,2019-01-01,17,2,3,11,-0.975,1
101,2019-01-01,17,5,0,2,-0.975,1
102,2019-01-01,17,5,5,1,-0.975,1
103,2019-01-01,17,5,13,1,-0.975,1
104,2019-01-01,18,2,3,2,-0.975,1
105,2019-01-01,18,5,14,1,-0.975,1
106,2019-01-01,19,2,0,1,-0.975,1
107,2019-01-01,19,2,1,1,-0.975,1
108,2019-01-01,19,2,9,3,-0.975,1
109,2019-01-01,19,2,11,1,-0.975,1
110,2019-01-01,19,2,12,1,-0.975,1
111,2019-01-01,19,4,5,1,-0.975,1
112,2019-01-01,19,4,12,1,-0.975,1
113,2019-01-01,19,5,11,1,-0.975,1
114,2019-01-01,20,2,0,1,-0.975,1
115,2019-01-01,20,2,1,1,-0.975,1
116,2019-01-01,20,2,11,2,-0.975,1
117,2019-01-01,20,5,0,2,-0.975,1
118,2019-01-01,20,5,7,2,-0.975,1
119,2019-01-01,20,5,8,1,-0.975,1
120,2019-01-01,20,5,12,2,-0.975,1
121,2019-01-01,21,2,5,1,-0.975,1
122,2019-01-01,21,2,8,1,-0.975,1
123,2019-01-01,21,4,12,1,-0.975,1
124,2019-01-01,21,5,7,1,-0.975,1
125,2019-01-01,21,5,9,2,-0.975,1
126,2019-01-01,22,2,5,1,-0.975,1
127,2019-01-01,22,5,6,1,-0.975,1
128,2019-01-01,23,2,5,1,-0.975,1
129,2019-01-01,23,2,9,1,-0.975,1
130,2019-01-01,23,5,6,1,-0.975,1
131,2019-01-01,23,5,8,1,-0.975,1
132,2019-01-02,0,2,0,1,0.625,1
133,2019-01-02,0,2,8,1,0.625,1
134,2019-01-02,0,4,7,1,0.625,1
135,2019-01-02,0,4,8,2,0.625,1
136,2019-01-02,0,5,1,2,0.625,1
137,2019-01-02,0,5,12,1,0.625,1
138,2019-01-02,1,2,13,1,0.625,1
139,2019-01-02,1,5,5,4,0.625,1
140,2019-01-02,1,5,15,1,0.625,1
141,2019-01-02,2,2,5,1,0.625,1
142,2019-01-02,3,4,7,2,0.625,1
143,2019-01-02,3,5,10,1,0.625,1
144,2019-01-02,4,2,8,1,0.625,1
145,2019-01-02,4,4,7,1,0.625,1
146,2019-01-02,4,5,5,1,0.625,1
147,2019-01-02,4,5,16,1,0.625,1
148,2019-01-02,5,2,8,1,0.625,1
149,2019-01-02,5,5,3,1,0.625,1
150,2019-01-02,6,4,9,1,0.625,1
151,2019-01-02,7,2,11,1,0.625,1
152,2019-01-02,7,4,1,1,0.625,1
153,2019-01-02,7,5,9,1,0.625,1
154,2019-01-02,8,2,3,1,0.625,1
155,2019-01-02,8,2,7,1,0.625,1
156,2019-01-02,8,5,13,1,0.625,1
157,2019-01-02,9,2,7,1,0.625,1
158,2019-01-02,9,5,9,1,0.625,1
159,2019-01-02,9,5,12,1,0.625,1
160,2019-01-02,10,1,5,1,0.625,1
161,2019-01-02,10,2,3,2,0.625,1
162,2019-01-02,10,2,5,1,0.625,1
163,2019-01-02,10,2,6,1,0.625,1
164,2019-01-02,10,2,9,2,0.625,1
165,2019-01-02,10,2,11,1,0.625,1
166,2019-01-02,10,2,12,1,0.625,1
167,2019-01-02,10,2,14,1,0.625,1
168,2019-01-02,10,4,13,1,0.625,1
169,2019-01-02,11,1,5,1,0.625,1
170,2019-01-02,11,2,0,2,0.625,1
171,2019-01-02,11,2,5,1,0.625,1
172,2019-01-02,11,2,7,1,0.625,1
173,2019-01-02,11,2,9,1,0.625,1
174,2019-01-02,11,2,14,1,0.625,1
175,2019-01-02,12,1,7,1,0.625,1
176,2019-01-02,12,2,7,2,0.625,1
177,2019-01-02,12,2,14,2,0.625,1
178,2019-01-02,12,4,7,1,0.625,1
179,2019-01-02,12,4,12,1,0.625,1
180,2019-01-02,13,1,7,1,0.625,1
181,2019-01-02,13,2,0,1,0.625,1
182,2019-01-02,13,2,2,1,0.625,1
183,2019-01-02,13,5,2,1,0.625,1
184,2019-01-02,13,5,12,1,0.625,1
185,2019-01-02,13,5,14,4,0.625,1
186,2019-01-02,14,1,9,1,0.625,1
187,2019-01-02,14,2,7,2,0.625,1
188,2019-01-02,14,2,10,2,0.625,1
189,2019-01-02,14,2,14,1,0.625,1
190,2019-01-02,14,4,14,1,0.625,1
191,2019-01-02,14,5,1,1,0.625,1
192,2019-01-02,15,1,2,1,0.625,1
193,2019-01-02,15,5,3,1,0.625,1
194,2019-01-02,15,5,8,1,0.625,1
195,2019-01-02,15,5,9,1,0.625,1
196,2019-01-02,15,5,16,1,0.625,1
197,2019-01-02,16,2,0,1,0.625,1
198,2019-01-02,16,2,1,1,0.625,1
199,2019-01-02,16,2,6,1,0.625,1
200,2019-01-02,16,2,7,1,0.625,1
201,2019-01-02,16,2,9,2,0.625,1
